Chemical,logS,deltaD,deltaP,deltaH,deltaHDon,deltaHAcc,MWt,Density,MVol,Area,Ovality,LogKow,RI,DHfus,EdmiW,Parachor,RD,DCp,logEta,Conductivity,SurfTen,HeavyAtom,MCI,Distance,Tm,Ar-sp3,CSA,PSA
SUI,1.26793241,20.65,3.87,7.83,5.4,6.4,248.3,1.154,215.1,273.16,1.574,4.73,1.591,21.61,0.455,530.3,72.71,465.3,3.539,171.9,61,19,9.343,4.15,405.13,16,229.154,44.95
SUII,1.619740857,20.79,3.5,7.49,5.3,6,276.3,1.169,236.4,315.27,1.705,5.34,1.65,23.1,0.439,609.8,86.23,566.6,5.134,174.6,61.6,21,10.148,4.22,436.75,14,263.084,44.95
SUIV,1.749435071,21.53,3.33,5.69,4.9,5.1,380.4,1.211,314.1,423.97,1.898,7.53,1.65,16.87,0.054,807.4,114.59,949.4,13.124,181.1,71.8,29,14.114,4.72,447.73,20,348.708,69.67
SUR,1.437372699,20.87,4.73,8.13,5.1,6.5,278.3,1.206,230.7,305.87,1.682,4.57,1.622,22.38,0.45,593.4,81.21,517.6,3.838,166.5,57.9,21,10.292,3.46,456.81,15,254.393,54.18
TBZ,1.515463083,22.11,8.56,5.42,0.1,3.6,359.7,1.558,230.8,315.17,1.732,5.46,1.684,48.8,-2.557,658,87.6,1729.3,333.948,161.4,148.5,21,10.08,5.53,454.25,14,277.888,33.62
TCPh,1.8074045,16.86,1.53,3.59,1.6,2.4,430.7,0.928,464.3,587.92,2.028,11.06,1.5,65.65,0.478,1141.1,136.54,1097.6,4.297,172.6,45.4,31,14.537,13.15,276.15,-17,519.639,29.46
TPhL,1.320202386,20.99,2.48,4.83,0.3,4.4,228.3,1.168,195.4,245.13,1.505,5.41,1.68,21.99,0.906,618,73.81,321.2,1.27,153.8,60.6,18,8.949,6.21,475.05,18,219.35,0
TRP,1.932280322,19.91,8.38,11.02,4.7,5.1,290.3,1.259,230.5,327.45,1.801,1.75,1.62,34.86,0.34,626.8,80.97,761.9,15.993,181.7,73.5,21,10.083,6.11,477.85,8,263.476,104.45
TST,1.618805801,18.63,5.37,6.17,4,4.8,288.4,1.086,265.5,348.14,1.743,3.61,1.582,30.38,1.167,749.4,88.66,554.1,2.1,153.3,41.8,21,9.949,8.33,428.05,-16,262.418,37.3
VD2,1.904310288,17.37,1.58,4.08,2.8,3.8,396.6,0.951,417.1,515.28,1.909,9.54,1.635,71.6,0.111,1148.2,149.32,826.5,2.576,162.7,48.3,29,13.719,12.05,386.35,-20,457.541,20.23
VD3,1.693587423,17.14,1.88,4.43,2.8,3.9,384.6,0.945,406.8,515.54,1.942,9.96,1.619,80.01,0.167,1069.1,142.69,827.8,2.644,163.1,46.3,28,13.308,12.2,358.45,-21,449.927,20.23
VK3,0.822739824,20.01,12.31,6.2,2.4,5.1,172.2,1.294,133,193.24,1.534,2.64,1.62,30.44,0.768,337.4,46.71,219.3,0.275,122.1,33.8,13,6.198,9.33,383.45,5,168.418,34.14
